P_AAER,CIK,YEARA,UNDERSTATEMENT
2,47059,1978,0
2,47059,1979,0
2,47059,1980,0
5,313023,1979,0
10,1122304,1982,0
16,59880,1971,0
16,59880,1972,0
16,59880,1973,0
16,59880,1974,0
16,59880,1975,0
16,59880,1976,0
16,59880,1977,0
16,59880,1978,0
17,73377,1980,0
17,73377,1981,1
19,46431,1978,0
20,351038,1979,0
20,351038,1980,0
20,351038,1981,0
20,351038,1982,0
22,101788,1979,0
22,101788,1980,0
22,101788,1981,0
23,36570,1982,0
27,4107,1981,0
30,29850,1980,0
30,29850,1981,0
35,93813,1982,0
45,28864,1981,0
45,28864,1982,0
46,894651,1982,0
47,12152,1982,0
49,109413,1983,0
52,85981,1978,0
52,85981,1979,0
52,85981,1980,0
52,85981,1981,0
52,85981,1982,0
52,85981,1983,0
52,737203,1987,0
60,2463,1980,0
63,73568,1982,0
65,77476,1979,0
65,77476,1980,0
65,77476,1981,0
67,319546,1979,0
67,319546,1980,0
67,319546,1982,0
72,885942,1982,0
72,885942,1983,0
77,69999,1984,0
78,352800,1982,0
79,225457,1979,0
79,225457,1980,0
79,225457,1981,0
79,225457,1982,0
80,276894,1980,0
80,276894,1981,0
80,276894,1982,0
80,276894,1983,0
80,276894,1984,0
81,313413,1980,0
81,313413,1981,0
83,40562,1983,0
99,711307,1983,0
99,711307,1984,0
108,50441,1982,0
119,23026,1981,0
119,23026,1982,0
121,311657,1984,0
124,62709,1983,0
125,94673,1982,0
125,94673,1983,0
125,94673,1984,0
131,704700,1983,0
134,36161,1983,0
137,706860,1982,0
137,706860,1983,0
139,55037,1983,0
139,55037,1984,0
145,719704,1985,0
146,97409,1984,0
153,1076328,1980,0
153,1076328,1981,0
153,1076328,1982,0
153,1076328,1983,0
159,746592,1981,0
159,746592,1982,0
159,746592,1983,0
161,61426,1983,0
162,729638,1984,0
169,732772,1985,0
175,702167,1982,0
179,700711,1981,0
179,700711,1982,0
181,824204,1983,0
181,824204,1984,0
182,354396,1984,0
184,716612,1983,0
184,716612,1984,0
190,719613,1984,0
196,32120,1984,0
199,84112,1982,0
199,84112,1983,0
199,84112,1984,0
203,90350,1986,0
205,766791,1987,0
209,746512,1983,0
209,746512,1984,0
212,84655,1985,0
213,316004,1984,0
215,777539,1988,0
216,58930,1983,0
216,58930,1984,0
216,58930,1985,0
218,914282,1986,0
218,914282,1987,0
223,79388,1985,0
226,779134,1984,0
229,723574,1985,0
229,723574,1986,0
236,314202,1983,0
236,314202,1984,0
240,796331,1985,0
242,793596,1986,0
245,773141,1985,0
245,773141,1986,0
245,773141,1987,0
247,746550,1985,0
247,746550,1986,0
247,746550,1987,0
257,748529,1987,0
257,748529,1988,0
258,102379,1987,0
262,95395,1980,0
